word,translation,part_of_speech,category
Concentrate,จดจ่อ / มีสมาธิ,v.,word
Demonstrate,แสดงให้เห็น / สาธิต,v.,word
Evaluate,ประเมิน,v.,word
Income,รายได้,n.,word
Influence,อิทธิพล / มีอิทธิพลต่อ,n./v.,word
Interactive,ซึ่งมีการตอบสนอง / โต้ตอบกัน,adj.,word
Pace,จังหวะความเร็ว (ในการวิ่งหรือทำงาน),n.,word
Qualification,คุณสมบัติ (วุฒิการศึกษาหรือความสามารถ),n.,word
Recover,ฟื้นฟูร่างกาย / ฟื้นตัว,v.,word
Apply for a job,สมัครงาน,-,collocation
Make an impression,สร้างความประทับใจ,-,collocation
Set a goal,ตั้งเป้าหมาย,-,collocation
Deal with,จัดการกับ / รับมือกับ,-,collocation
Keep in mind,จำไว้ว่า / ใส่ใจไว้,-,collocation
Stand out from the crowd,โดดเด่นกว่าคนทั่วไป,-,idiom
